,Index,Measure number,Offset,Global offset,Duration,Partition,Density-number,Agglomeration,Dispersion,Label
0,1+0,1,0,0,1/4,0,0,,,Part A
1,1+1/4,1,1/4,1/4,3/2,1.3,4,3.0,3.0,Part A
2,1+1/2,1,1/2,1/2,3/2,1.3,4,3.0,3.0,Part A
3,2+0,2,0,3/4,3/2,1.3,4,3.0,3.0,Part A
4,2+1/4,2,1/4,1,3/2,1.3,4,3.0,3.0,Part A
5,2+1/2,2,1/2,5/4,3/2,1.3,4,3.0,3.0,Part A
6,2+3/4,2,3/4,3/2,3/2,1.3,4,3.0,3.0,Part A
7,2+1,2,1,7/4,1,4,4,6.0,0.0,Part A
8,2+5/4,2,5/4,2,1,4,4,6.0,0.0,Part A
9,2+3/2,2,3/2,9/4,1,4,4,6.0,0.0,Part A
10,2+7/4,2,7/4,5/2,1,4,4,6.0,0.0,Part A
11,3+0,3,0,11/4,3/2,5,5,10.0,0.0,Part A
12,3+1/4,3,1/4,3,3/2,5,5,10.0,0.0,Part A
13,3+1/2,3,1/2,13/4,3/2,5,5,10.0,0.0,Part A
14,3+3/4,3,3/4,7/2,3/2,5,5,10.0,0.0,Part A
15,3+1,3,1,15/4,3/2,5,5,10.0,0.0,Part A
16,3+5/4,3,5/4,4,3/2,5,5,10.0,0.0,Part A
17,3+3/2,3,3/2,17/4,1/4,0,0,,,Part A
18,3+7/4,3,7/4,9/2,1/4,1,1,0.0,0.0,Part A
19,4+0,4,0,19/4,3/4,1².4,6,6.0,9.0,Part A
20,4+1/4,4,1/4,5,3/4,1².4,6,6.0,9.0,Part A
21,4+1/2,4,1/2,21/4,3/4,1².4,6,6.0,9.0,Part A
22,4+3/4,4,3/4,11/2,1/4,1.3,4,3.0,3.0,Part A
23,4+1,4,1,23/4,1/2,1².3,5,3.0,7.0,Part A
24,4+5/4,4,5/4,6,1/2,1².3,5,3.0,7.0,Part A
25,4+3/2,4,3/2,25/4,1/2,1.4,5,6.0,4.0,Part A
26,4+7/4,4,7/4,13/2,1/2,1.4,5,6.0,4.0,Part A
27,5+0,5,0,27/4,1/2,1².4,6,6.0,9.0,Part A
28,5+1/4,5,1/4,7,1/2,1².4,6,6.0,9.0,Part A
29,5+1/2,5,1/2,29/4,1/4,1.4,5,6.0,4.0,Part A
30,5+3/4,5,3/4,15/2,1/4,1.2,3,1.0,2.0,Part A
31,5+1,5,1,31/4,1/2,1.4,5,6.0,4.0,Part A
32,5+5/4,5,5/4,8,1/2,1.4,5,6.0,4.0,Part A
33,5+3/2,5,3/2,33/4,3/2,1.3,4,3.0,3.0,Part A
34,5+7/4,5,7/4,17/2,3/2,1.3,4,3.0,3.0,Part A
35,6+0,6,0,35/4,3/2,1.3,4,3.0,3.0,Part A
36,6+1/4,6,1/4,9,3/2,1.3,4,3.0,3.0,Part A
37,6+1/2,6,1/2,37/4,3/2,1.3,4,3.0,3.0,Part A
38,6+3/4,6,3/4,19/2,3/2,1.3,4,3.0,3.0,Part A
39,6+1,6,1,39/4,1,4,4,6.0,0.0,Part A
40,6+5/4,6,5/4,10,1,4,4,6.0,0.0,Part A
41,6+3/2,6,3/2,41/4,1,4,4,6.0,0.0,Part A
42,6+7/4,6,7/4,21/2,1,4,4,6.0,0.0,Part A
43,7+0,7,0,43/4,3/2,5,5,10.0,0.0,Part A
44,7+1/4,7,1/4,11,3/2,5,5,10.0,0.0,Part A
45,7+1/2,7,1/2,45/4,3/2,5,5,10.0,0.0,Part A
46,7+3/4,7,3/4,23/2,3/2,5,5,10.0,0.0,Part A
47,7+1,7,1,47/4,3/2,5,5,10.0,0.0,Part A
48,7+5/4,7,5/4,12,3/2,5,5,10.0,0.0,Part A
49,7+3/2,7,3/2,49/4,1/4,0,0,,,Part A
50,7+7/4,7,7/4,25/2,1/4,1,1,0.0,0.0,Part A
51,8+0,8,0,51/4,3/4,1.5,6,10.0,5.0,Part A
52,8+1/4,8,1/4,13,3/4,1.5,6,10.0,5.0,Part A
53,8+1/2,8,1/2,53/4,3/4,1.5,6,10.0,5.0,Part A
54,8+3/4,8,3/4,27/2,1/4,1.3,4,3.0,3.0,Part A
55,8+1,8,1,55/4,3/4,1².3,5,3.0,7.0,Part A
56,8+5/4,8,5/4,14,3/4,1².3,5,3.0,7.0,Part A
57,8+3/2,8,3/2,57/4,3/4,1².3,5,3.0,7.0,Part A
58,8+7/4,8,7/4,29/2,1/4,1.4,5,6.0,4.0,Part A
59,9+0,9,0,59/4,1/2,1².4,6,6.0,9.0,Part A
60,9+1/4,9,1/4,15,1/2,1².4,6,6.0,9.0,Part A
61,9+1/2,9,1/2,61/4,1/4,1.4,5,6.0,4.0,Part A
62,9+3/4,9,3/4,31/2,1/4,1.2,3,1.0,2.0,Part A
63,9+1,9,1,63/4,1/2,1.4,5,6.0,4.0,Part A
64,9+5/4,9,5/4,16,1/2,1.4,5,6.0,4.0,Part A
65,9+3/2,9,3/2,65/4,3/2,1².3,5,3.0,7.0,Part A
66,9+7/4,9,7/4,33/2,3/2,1².3,5,3.0,7.0,Part A
67,10+0,10,0,67/4,3/2,1².3,5,3.0,7.0,Part A
68,10+1/4,10,1/4,17,3/2,1².3,5,3.0,7.0,Part A
69,10+1/2,10,1/2,69/4,3/2,1².3,5,3.0,7.0,Part A
70,10+3/4,10,3/4,35/2,3/2,1².3,5,3.0,7.0,Part B
71,10+1,10,1,71/4,1,2.3,5,4.0,6.0,Part B
72,10+5/4,10,5/4,18,1,2.3,5,4.0,6.0,Part B
73,10+3/2,10,3/2,73/4,1,2.3,5,4.0,6.0,Part B
74,10+7/4,10,7/4,37/2,1,2.3,5,4.0,6.0,Part B
75,11+0,11,0,75/4,1/2,1³.3,6,3.0,12.0,Part B
76,11+1/4,11,1/4,19,1/2,1³.3,6,3.0,12.0,Part B
77,11+1/2,11,1/2,77/4,1,1².4,6,6.0,9.0,Part B
78,11+3/4,11,3/4,39/2,1,1².4,6,6.0,9.0,Part B
79,11+1,11,1,79/4,1,1².4,6,6.0,9.0,Part B
80,11+5/4,11,5/4,20,1,1².4,6,6.0,9.0,Part B
81,11+3/2,11,3/2,81/4,1/2,1.5,6,10.0,5.0,Part B
82,11+7/4,11,7/4,41/2,1/2,1.5,6,10.0,5.0,Part B
83,12+0,12,0,83/4,1/2,1.3,4,3.0,3.0,Part B
84,12+1/4,12,1/4,21,1/2,1.3,4,3.0,3.0,Part B
85,12+1/2,12,1/2,85/4,1/2,1,1,0.0,0.0,Part B
86,12+3/4,12,3/4,43/2,1/2,1,1,0.0,0.0,Part B
87,12+1,12,1,87/4,1/2,1.4,5,6.0,4.0,Part B
88,12+5/4,12,5/4,22,1/2,1.4,5,6.0,4.0,Part B
89,12+3/2,12,3/2,89/4,1/2,1,1,0.0,0.0,Part B
90,12+7/4,12,7/4,45/2,1/2,1,1,0.0,0.0,Part B
91,13+0,13,0,91/4,1/2,1.3,4,3.0,3.0,Part B
92,13+1/4,13,1/4,23,1/2,1.3,4,3.0,3.0,Part B
93,13+1/2,13,1/2,93/4,1/4,1,1,0.0,0.0,Part B
94,13+3/4,13,3/4,47/2,1/4,1.4,5,6.0,4.0,Part B
95,13+1,13,1,95/4,1/2,3,3,3.0,0.0,Part B
96,13+5/4,13,5/4,24,1/2,3,3,3.0,0.0,Part B
97,13+3/2,13,3/2,97/4,3/2,6,6,15.0,0.0,Part A1
98,13+7/4,13,7/4,49/2,3/2,6,6,15.0,0.0,Part A1
99,14+0,14,0,99/4,3/2,6,6,15.0,0.0,Part A1
100,14+1/4,14,1/4,25,3/2,6,6,15.0,0.0,Part A1
101,14+1/2,14,1/2,101/4,3/2,6,6,15.0,0.0,Part A1
102,14+3/4,14,3/4,51/2,3/2,6,6,15.0,0.0,Part A1
103,14+1,14,1,103/4,1,1.5,6,10.0,5.0,Part A1
104,14+5/4,14,5/4,26,1,1.5,6,10.0,5.0,Part A1
105,14+3/2,14,3/2,105/4,1,1.5,6,10.0,5.0,Part A1
106,14+7/4,14,7/4,53/2,1,1.5,6,10.0,5.0,Part A1
107,15+0,15,0,107/4,1,1.2.3,6,4.0,11.0,Part A1
108,15+1/4,15,1/4,27,1,1.2.3,6,4.0,11.0,Part A1
109,15+1/2,15,1/2,109/4,1,1.2.3,6,4.0,11.0,Part A1
110,15+3/4,15,3/4,55/2,1,1.2.3,6,4.0,11.0,Part A1
111,15+1,15,1,111/4,1/2,3²,6,6.0,9.0,Part A1
112,15+5/4,15,5/4,28,1/2,3²,6,6.0,9.0,Part A1
113,15+3/2,15,3/2,113/4,1/4,0,0,,,Part A1
114,15+7/4,15,7/4,57/2,1/4,1,1,0.0,0.0,Part A1
115,16+0,16,0,115/4,3/4,1.5,6,10.0,5.0,Part A1
116,16+1/4,16,1/4,29,3/4,1.5,6,10.0,5.0,Part A1
117,16+1/2,16,1/2,117/4,3/4,1.5,6,10.0,5.0,Part A1
118,16+3/4,16,3/4,59/2,1/4,1.3,4,3.0,3.0,Part A1
119,16+1,16,1,119/4,3/4,1².3,5,3.0,7.0,Part A1
120,16+5/4,16,5/4,30,3/4,1².3,5,3.0,7.0,Part A1
121,16+3/2,16,3/2,121/4,3/4,1².3,5,3.0,7.0,Part A1
122,16+7/4,16,7/4,61/2,1/4,1.4,5,6.0,4.0,Part A1
123,17+0,17,0,123/4,3/2,1².4,6,6.0,9.0,Part A1
124,17+1/4,17,1/4,31,3/2,1².4,6,6.0,9.0,Part A1
125,17+1/2,17,1/2,125/4,3/2,1².4,6,6.0,9.0,Part A1
126,17+3/4,17,3/4,63/2,3/2,1².4,6,6.0,9.0,Part A1
127,17+1,17,1,127/4,3/2,1².4,6,6.0,9.0,Part A1
128,17+5/4,17,5/4,32,3/2,1².4,6,6.0,9.0,Part A1
129,17+3/2,17,3/2,129/4,1/4,1.4,5,6.0,4.0,Part A1
130,17+7/4,17,7/4,65/2,1/4,1.2,3,1.0,2.0,Part A1
131,18+0,18,0,131/4,1,1.3,4,3.0,3.0,Part A1
132,18+1/4,18,1/4,33,1,1.3,4,3.0,3.0,Part A1
133,18+1/2,18,1/2,133/4,1,1.3,4,3.0,3.0,Part A1
134,18+3/4,18,3/4,67/2,1,1.3,4,3.0,3.0,Part A1
